rank,lead_id,name,minfile,primary_metal,metals_abbr,commodity,status,deposit_open,hard_to_stake,nearest_community,community_type,community_km,deposit_size,grade_str,tonnes_str,resource_cat,drill_highlights,exploration_spend,exploration_spend_str,n_reports,last_work_year,operators,basis,encumbrances,core_cell,n_cells,cells_area_ha,score,grade_conf,production,last_prod_year,lat,lon,cell_ids,minfile_url,capsule
1,L0001,Thompson Shaft,MBMINE-Thompson Shaft,Other metallic,Met,,Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Met). Deposit itself unclaimed.,,-12795_11068,6,150.0,42,1.0,,1990.0,49.71279,-95.1798,-12797_11068;-12796_11068;-12796_11069;-12795_11068;-12795_11069;-12795_11070,,
2,L0002,Smugler Shaft,MBMINE-Smugler Shaft,Other metallic,Met,,Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Met). Deposit itself unclaimed.,,-12817_11066,13,325.0,42,1.0,,1990.0,49.70423,-95.33868,-12819_11066;-12818_11065;-12818_11066;-12818_11067;-12817_11064;-12817_11065;-12817_11066;-12817_11067;-12817_11068;-12816_11065;-12816_11066;-12816_11067;-12815_11066,,
3,L0003,J.V. Shaft #2,MBMINE-J.V. Shaft #2,Other metallic,Met,,Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Met). Deposit itself unclaimed.,,-12853_11103,13,325.0,30,1.0,,,49.87011,-95.60672,-12855_11103;-12854_11102;-12854_11103;-12854_11104;-12853_11101;-12853_11102;-12853_11103;-12853_11104;-12853_11105;-12852_11102;-12852_11103;-12852_11104;-12851_11103,,
4,L0004,Henderson Mine,MBMINE-Henderson Mine,Other metallic,Met,Col,Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Met). Deposit itself unclaimed.,,-13519_10918,13,325.0,30,1.0,,,49.04154,-100.56488,-13521_10918;-13520_10917;-13520_10918;-13520_10919;-13519_10916;-13519_10917;-13519_10918;-13519_10919;-13519_10920;-13518_10917;-13518_10918;-13518_10919;-13517_10918,,
5,L0005,Silver Plains Mine,MBMINE-Silver Plains Mine,Other metallic,Met,Gp,Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Met). Deposit itself unclaimed.,,-13076_11011,13,325.0,30,1.0,,,49.45667,-97.27001,-13078_11011;-13077_11010;-13077_11011;-13077_11012;-13076_11009;-13076_11010;-13076_11011;-13076_11012;-13076_11013;-13075_11010;-13075_11011;-13075_11012;-13074_11011,,
6,L0006,Atik Lake,MBMINE-Atik Lake,Other metallic,Met,Au,Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Met). Deposit itself unclaimed.,,-12918_12298,13,325.0,30,1.0,,,55.23925,-96.08804,-12920_12298;-12919_12297;-12919_12298;-12919_12299;-12918_12296;-12918_12297;-12918_12298;-12918_12299;-12918_12300;-12917_12297;-12917_12298;-12917_12299;-12916_12298,,
7,L0007,Gold Hill ( Bergold) Shaft,MBMINE-Gold Hill ( Bergold) Shaft,Other metallic,Met,Au,Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Met). Deposit itself unclaimed.,,-13625_12150,13,325.0,30,1.0,,,54.57635,-101.34788,-13627_12150;-13626_12149;-13626_12150;-13626_12151;-13625_12148;-13625_12149;-13625_12150;-13625_12151;-13625_12152;-13624_12149;-13624_12150;-13624_12151;-13623_12150,,
8,L0008,Deep Ravine Mine,MBMINE-Deep Ravine Mine,Other metallic,Met,Col,Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Met). Deposit itself unclaimed.,,-13519_10922,13,325.0,30,1.0,,,49.05884,-100.56391,-13521_10922;-13520_10921;-13520_10922;-13520_10923;-13519_10920;-13519_10921;-13519_10922;-13519_10923;-13519_10924;-13518_10921;-13518_10922;-13518_10923;-13517_10922,,
9,L0009,Dixon Shaft,MBMINE-Dixon Shaft,Other metallic,Met,,Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Met). Deposit itself unclaimed.,,-13625_12151,13,325.0,30,1.0,,,54.57914,-101.35435,-13627_12151;-13626_12150;-13626_12151;-13626_12152;-13625_12149;-13625_12150;-13625_12151;-13625_12152;-13625_12153;-13624_12150;-13624_12151;-13624_12152;-13623_12151,,
10,L0010,Fox Bay (1St Cranberry) Shaft,MBMINE-Fox Bay (1st Cranberry) Shaft,Other metallic,Met,,Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Met). Deposit itself unclaimed.,,-13614_12157,13,325.0,20,1.0,,1961.0,54.60755,-101.2697,-13616_12157;-13615_12156;-13615_12157;-13615_12158;-13614_12155;-13614_12156;-13614_12157;-13614_12158;-13614_12159;-13613_12156;-13613_12157;-13613_12158;-13612_12157,,
