rank,lead_id,name,minfile,primary_metal,metals_abbr,commodity,status,deposit_open,hard_to_stake,nearest_community,community_type,community_km,deposit_size,grade_str,tonnes_str,resource_cat,drill_highlights,exploration_spend,exploration_spend_str,n_reports,last_work_year,operators,basis,encumbrances,core_cell,n_cells,cells_area_ha,score,grade_conf,production,lat,lon,cell_ids,minfile_url,capsule
1,L0001,New Horton,1,Other metallic,Met,"Ag, Cu",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-9910_10171,13,325.0,17,1.0,,45.68611,-64.71302,-9912_10171;-9911_10170;-9911_10171;-9911_10172;-9910_10169;-9910_10170;-9910_10171;-9910_10172;-9910_10173;-9909_10170;-9909_10171;-9909_10172;-9908_10171,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=1,
2,L0002,Quaco Head Manganese &quot;I&quot;,2,Other metallic,Met,Mn,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10036_10091,13,325.0,17,1.0,,45.3264,-65.53802,-10038_10091;-10037_10090;-10037_10091;-10037_10092;-10036_10089;-10036_10090;-10036_10091;-10036_10092;-10036_10093;-10035_10090;-10035_10091;-10035_10092;-10034_10091,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=2,
3,L0003,Big Salmon River,3,Other metallic,Met,Au,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10015_10112,13,325.0,17,1.0,,45.41948,-65.40218,-10017_10112;-10016_10111;-10016_10112;-10016_10113;-10015_10110;-10015_10111;-10015_10112;-10015_10113;-10015_10114;-10014_10111;-10014_10112;-10014_10113;-10013_10112,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=3,
4,L0004,Quispamsis,4,Other metallic,Met,"Ag, Au, Cu, Pb, Zn",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10101_10113,13,325.0,17,1.0,,45.42362,-65.95802,-10103_10113;-10102_10112;-10102_10113;-10102_10114;-10101_10111;-10101_10112;-10101_10113;-10101_10114;-10101_10115;-10100_10112;-10100_10113;-10100_10114;-10099_10113,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=4,
5,L0005,Armstrong Brook,5,Other metallic,Met,Au,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10082_10076,13,325.0,17,1.0,,45.25751,-65.83636,-10084_10076;-10083_10075;-10083_10076;-10083_10077;-10082_10074;-10082_10075;-10082_10076;-10082_10077;-10082_10078;-10081_10075;-10081_10076;-10081_10077;-10080_10076,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=5,
6,L0006,Lake George Tungsten,6,Other metallic,Met,W,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10266_10210,13,325.0,17,1.0,,45.86251,-67.04081,-10268_10210;-10267_10209;-10267_10210;-10267_10211;-10266_10208;-10266_10209;-10266_10210;-10266_10211;-10266_10212;-10265_10209;-10265_10210;-10265_10211;-10264_10210,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=6,
7,L0007,Lake George Antimony,7,Other metallic,Met,"Au, Sb",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10265_10207,13,325.0,17,1.0,,45.84944,-67.03524,-10267_10207;-10266_10206;-10266_10207;-10266_10208;-10265_10205;-10265_10206;-10265_10207;-10265_10208;-10265_10209;-10264_10206;-10264_10207;-10264_10208;-10263_10207,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=7,
8,L0008,Shin Creek,8,Other metallic,Met,"Ag, Mo, W",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10204_10141,13,325.0,17,1.0,,45.55224,-66.63358,-10206_10141;-10205_10140;-10205_10141;-10205_10142;-10204_10139;-10204_10140;-10204_10141;-10204_10142;-10204_10143;-10203_10140;-10203_10141;-10203_10142;-10202_10141,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=8,
9,L0009,Sinclair Hill,9,Other metallic,Met,"Ag, Au, Cu",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-9942_10159,13,325.0,17,1.0,,45.63113,-64.92275,-9944_10159;-9943_10158;-9943_10159;-9943_10160;-9942_10157;-9942_10158;-9942_10159;-9942_10160;-9942_10161;-9941_10158;-9941_10159;-9941_10160;-9940_10159,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=9,
10,L0010,Pender Brook,10,Other metallic,Met,Sb,Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10154_10147,13,325.0,17,1.0,,45.57888,-66.30664,-10156_10147;-10155_10146;-10155_10147;-10155_10148;-10154_10145;-10154_10146;-10154_10147;-10154_10148;-10154_10149;-10153_10146;-10153_10147;-10153_10148;-10152_10147,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=10,
11,L0011,Evandale Stock *,11,Other metallic,Met,"Ag, Au, Cu",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10122_10149,13,325.0,17,1.0,,45.58501,-66.09691,-10124_10149;-10123_10148;-10123_10149;-10123_10150;-10122_10147;-10122_10148;-10122_10149;-10122_10150;-10122_10151;-10121_10148;-10121_10149;-10121_10150;-10120_10149,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=11,
12,L0012,Johnson Croft,12,Other metallic,Met,"Ag, Cu, Pb, Zn",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10131_10128,13,325.0,17,1.0,,45.49222,-66.15829,-10133_10128;-10132_10127;-10132_10128;-10132_10129;-10131_10126;-10131_10127;-10131_10128;-10131_10129;-10131_10130;-10130_10127;-10130_10128;-10130_10129;-10129_10128,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=12,
13,L0013,Shaft,13,Other metallic,Met,"Ag, Pb, Zn",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10093_10613,13,325.0,17,1.0,,47.67266,-65.91105,-10095_10613;-10094_10612;-10094_10613;-10094_10614;-10093_10611;-10093_10612;-10093_10613;-10093_10614;-10093_10615;-10092_10612;-10092_10613;-10092_10614;-10091_10613,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=13,
14,L0014,Key Anacon,14,Other metallic,Met,"Pb, Zn",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10061_10561,13,325.0,17,1.0,,47.43555,-65.69774,-10063_10561;-10062_10560;-10062_10561;-10062_10562;-10061_10559;-10061_10560;-10061_10561;-10061_10562;-10061_10563;-10060_10560;-10060_10561;-10060_10562;-10059_10561,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=14,
15,L0015,Madran,15,Other metallic,Met,"Ag, Cu, Zn",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10084_10639,13,325.0,17,1.0,,47.79002,-65.85135,-10086_10639;-10085_10638;-10085_10639;-10085_10640;-10084_10637;-10084_10638;-10084_10639;-10084_10640;-10084_10641;-10083_10638;-10083_10639;-10083_10640;-10082_10639,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=15,
16,L0016,Turgeon,16,Other metallic,Met,"Cu, Zn",Occurrence,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Occurrence (Met). Deposit itself unclaimed.,,-10088_10659,13,325.0,17,1.0,,47.87583,-65.8788,-10090_10659;-10089_10658;-10089_10659;-10089_10660;-10088_10657;-10088_10658;-10088_10659;-10088_10660;-10088_10661;-10087_10658;-10087_10659;-10087_10660;-10086_10659,http://dnr-mrn.gnb.ca/MineralOccurrence/default.aspx?componentID=5&urn=16,
