rank,lead_id,name,minfile,primary_metal,metals_abbr,commodity,status,deposit_open,hard_to_stake,nearest_community,community_type,community_km,deposit_size,grade_str,tonnes_str,resource_cat,drill_highlights,exploration_spend,exploration_spend_str,n_reports,last_work_year,operators,basis,encumbrances,core_cell,n_cells,cells_area_ha,score,grade_conf,production,last_prod_year,lat,lon,cell_ids,minfile_url,capsule
1,L0001,Two Time,013K/11/U  005,Uranium,U,Uranium,Developed Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Developed Prospect (U). Deposit itself unclaimed.,,-8597_12148,13,325.0,44,1.0,,,54.56554,-61.17152,-8599_12148;-8598_12147;-8598_12148;-8598_12149;-8597_12146;-8597_12147;-8597_12148;-8597_12149;-8597_12150;-8596_12147;-8596_12148;-8596_12149;-8595_12148,https://gis.geosurv.gov.nl.ca/mods/ModsCard.asp?NMINOString=013K%2F11%2FU%20%20005,
2,L0002,Grey River Tungsten,011P/11/W  001,Molybdenum,Mo-Cu-Zn-Pb,"Molybdenum, Copper, Zinc, Lead, Bismuth, Silver, Gold, Tungsten",Developed Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Developed Prospect (Mo-Cu-Zn-Pb). Deposit itself unclaimed.,,-8025_10596,13,325.0,44,1.0,,,47.59343,-57.10342,-8027_10596;-8026_10595;-8026_10596;-8026_10597;-8025_10594;-8025_10595;-8025_10596;-8025_10597;-8025_10598;-8024_10595;-8024_10596;-8024_10597;-8023_10596,https://gis.geosurv.gov.nl.ca/mods/ModsCard.asp?NMINOString=011P%2F11%2FW%20%20001,
3,L0003,Strickland - Copper Zone,011O/16/Cu 001,Lead,Pb-Zn-Cu,"Lead, Zinc, Copper",Developed Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Developed Prospect (Pb-Zn-Cu). Deposit itself unclaimed.,,-8194_10643,13,325.0,44,1.0,,,47.80365,-58.30275,-8196_10643;-8195_10642;-8195_10643;-8195_10644;-8194_10641;-8194_10642;-8194_10643;-8194_10644;-8194_10645;-8193_10642;-8193_10643;-8193_10644;-8192_10643,https://gis.geosurv.gov.nl.ca/mods/ModsCard.asp?NMINOString=011O%2F16%2FCu%20001,
4,L0004,Deep Fox,003D/05/Ree007,Rare earths,REE,Rare Earth Elements,Developed Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Developed Prospect (REE). Deposit itself unclaimed.,,-7821_11661,13,325.0,44,1.0,,,52.3805,-55.64987,-7823_11661;-7822_11660;-7822_11661;-7822_11662;-7821_11659;-7821_11660;-7821_11661;-7821_11662;-7821_11663;-7820_11660;-7820_11661;-7820_11662;-7819_11661,https://gis.geosurv.gov.nl.ca/mods/ModsCard.asp?NMINOString=003D%2F05%2FRee007,
5,L0005,Windowglass Hill - Main Zone,011O/10/Au 001,Copper,Cu-Pb-Zn-Ag,"Copper, Lead, Zinc, Silver, Gold",Developed Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Developed Prospect (Cu-Pb-Zn-Ag). Deposit itself unclaimed.,,-8286_10629,13,325.0,44,1.0,,,47.74279,-58.95727,-8288_10629;-8287_10628;-8287_10629;-8287_10630;-8286_10627;-8286_10628;-8286_10629;-8286_10630;-8286_10631;-8285_10628;-8285_10629;-8285_10630;-8284_10629,https://gis.geosurv.gov.nl.ca/mods/ModsCard.asp?NMINOString=011O%2F10%2FAu%20001,
6,L0006,Deer Cove Main Zone,012I/01/Au 001,Gold,Au,Gold,Developed Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Developed Prospect (Au). Deposit itself unclaimed.,,-7877_11135,13,325.0,44,1.0,,,50.01619,-56.04389,-7879_11135;-7878_11134;-7878_11135;-7878_11136;-7877_11133;-7877_11134;-7877_11135;-7877_11136;-7877_11137;-7876_11134;-7876_11135;-7876_11136;-7875_11135,https://gis.geosurv.gov.nl.ca/mods/ModsCard.asp?NMINOString=012I%2F01%2FAu%20001,
7,L0007,Area 1,013K/07/U  007,Copper,Cu-V-U,"Copper, Vanadium, Uranium",Developed Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Developed Prospect (Cu-V-U). Deposit itself unclaimed.,,-8570_12126,13,325.0,44,1.0,,,54.46751,-60.98105,-8572_12126;-8571_12125;-8571_12126;-8571_12127;-8570_12124;-8570_12125;-8570_12126;-8570_12127;-8570_12128;-8569_12125;-8569_12126;-8569_12127;-8568_12126,https://gis.geosurv.gov.nl.ca/mods/ModsCard.asp?NMINOString=013K%2F07%2FU%20%20007,
8,L0008,Two Tom Lake,013L/01/REE001,Rare earths,REE,Rare Earth Elements,Developed Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Developed Prospect (REE). Deposit itself unclaimed.,,-8734_12070,13,325.0,44,1.0,,,54.21359,-62.14192,-8736_12070;-8735_12069;-8735_12070;-8735_12071;-8734_12068;-8734_12069;-8734_12070;-8734_12071;-8734_12072;-8733_12069;-8733_12070;-8733_12071;-8732_12070,https://gis.geosurv.gov.nl.ca/mods/ModsCard.asp?NMINOString=013L%2F01%2FREE001,
9,L0009,Mann #1,013L/01/Be 001,Niobium,Nb-U-Zn-Be,"Niobium, Uranium, Zinc, Beryllium",Developed Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Developed Prospect (Nb-U-Zn-Be). Deposit itself unclaimed.,,-8769_12075,13,325.0,44,1.0,,,54.23929,-62.3924,-8771_12075;-8770_12074;-8770_12075;-8770_12076;-8769_12073;-8769_12074;-8769_12075;-8769_12076;-8769_12077;-8768_12074;-8768_12075;-8768_12076;-8767_12075,https://gis.geosurv.gov.nl.ca/mods/ModsCard.asp?NMINOString=013L%2F01%2FBe%20001,
10,L0010,Moran Lake C-Zone,013K/07/U  002,Vanadium,V-Cu-Fe-Ag,"Vanadium, Copper, Iron, Silver, Uranium",Developed Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Developed Prospect (V-Cu-Fe-Ag). Deposit itself unclaimed.,,-8567_12129,13,325.0,44,1.0,,,54.47908,-60.9581,-8569_12129;-8568_12128;-8568_12129;-8568_12130;-8567_12127;-8567_12128;-8567_12129;-8567_12130;-8567_12131;-8566_12128;-8566_12129;-8566_12130;-8565_12129,https://gis.geosurv.gov.nl.ca/mods/ModsCard.asp?NMINOString=013K%2F07%2FU%20%20002,
