rank,lead_id,name,minfile,primary_metal,metals_abbr,commodity,status,deposit_open,hard_to_stake,nearest_community,community_type,community_km,deposit_size,grade_str,tonnes_str,resource_cat,drill_highlights,exploration_spend,exploration_spend_str,n_reports,last_work_year,operators,basis,encumbrances,core_cell,n_cells,cells_area_ha,score,grade_conf,production,last_prod_year,lat,lon,cell_ids,minfile_url,capsule
1,L0001,McCuish Mn Mine,F15-009,Other metallic,Met,Mn,Deposit,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit (Met). Deposit itself unclaimed.,,-9467_10199,13,325.0,35,1.0,,,45.80966,-60.50423,-9469_10199;-9468_10198;-9468_10199;-9468_10200;-9467_10197;-9467_10198;-9467_10199;-9467_10200;-9467_10201;-9466_10198;-9466_10199;-9466_10200;-9465_10199,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=F15-009,
2,L0002,Lime Hill Zn and Wollastonite Deposit,F14-012,Other metallic,Met-Ind,"Zn, Cu, W, Wollastonite",Deposit,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit (Met-Ind). Deposit itself unclaimed.,,-9567_10192,13,325.0,35,1.0,,,45.77979,-61.1485,-9569_10192;-9568_10191;-9568_10192;-9568_10193;-9567_10190;-9567_10191;-9567_10192;-9567_10193;-9567_10194;-9566_10191;-9566_10192;-9566_10193;-9565_10192,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=F14-012,
3,L0003,"Jubilee Zn, Pb Deposit",F15-007,Other metallic,Met,"Zn, Pb, Cu, Ba",Deposit,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit (Met). Deposit itself unclaimed.,,-9537_10237,13,325.0,35,1.0,,,45.98426,-60.95151,-9539_10237;-9538_10236;-9538_10237;-9538_10238;-9537_10235;-9537_10236;-9537_10237;-9537_10238;-9537_10239;-9536_10236;-9536_10237;-9536_10238;-9535_10237,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=F15-007,
4,L0004,"Jubilee Zn, Pb Deposit",F15-007,Other metallic,Met,"Zn, Pb, Cu, Ba",Deposit,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit (Met). Deposit itself unclaimed.,,-9537_10238,13,325.0,35,1.0,,,45.9849,-60.95704,-9539_10238;-9538_10237;-9538_10238;-9538_10239;-9537_10236;-9537_10237;-9537_10238;-9537_10239;-9537_10240;-9536_10237;-9536_10238;-9536_10239;-9535_10238,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=F15-007,
5,L0005,"Jubilee Zn, Pb Deposit",F15-007,Other metallic,Met,"Zn, Pb, Cu, Ba",Deposit,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit (Met). Deposit itself unclaimed.,,-9539_10239,12,300.0,35,1.0,,,45.99089,-60.96495,-9541_10239;-9540_10238;-9540_10239;-9540_10240;-9539_10237;-9539_10238;-9539_10239;-9539_10240;-9538_10238;-9538_10239;-9538_10240;-9537_10239,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=F15-007,
6,L0006,"Jubilee Zn, Pb Deposit",F15-007,Other metallic,Met,"Zn, Pb, Cu, Ba",Deposit,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit (Met). Deposit itself unclaimed.,,-9535_10237,13,325.0,35,1.0,,,45.9844,-60.94402,-9537_10237;-9536_10236;-9536_10237;-9536_10238;-9535_10235;-9535_10236;-9535_10237;-9535_10238;-9535_10239;-9534_10236;-9534_10237;-9534_10238;-9533_10237,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=F15-007,
7,L0007,Lime Hill Zn and Wollastonite Deposit,F14-012,Other metallic,Met-Ind,"Zn, Cu, W, Wollastonite",Deposit,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit (Met-Ind). Deposit itself unclaimed.,,-9568_10192,13,325.0,35,1.0,,,45.77981,-61.14953,-9570_10192;-9569_10191;-9569_10192;-9569_10193;-9568_10190;-9568_10191;-9568_10192;-9568_10193;-9568_10194;-9567_10191;-9567_10192;-9567_10193;-9566_10192,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=F14-012,
8,L0008,Lime Hill Zn and Wollastonite Deposit,F14-012,Other metallic,Met-Ind,"Zn, Cu, W, Wollastonite",Deposit,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit (Met-Ind). Deposit itself unclaimed.,,-9567_10191,13,325.0,35,1.0,,,45.77684,-61.1495,-9569_10191;-9568_10190;-9568_10191;-9568_10192;-9567_10189;-9567_10190;-9567_10191;-9567_10192;-9567_10193;-9566_10190;-9566_10191;-9566_10192;-9565_10191,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=F14-012,
9,L0009,Lime Hill Zn and Wollastonite Deposit,F14-012,Other metallic,Met-Ind,"Zn, Cu, W, Wollastonite",Deposit,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit (Met-Ind). Deposit itself unclaimed.,,-9569_10191,13,325.0,35,1.0,,,45.77777,-61.15731,-9571_10191;-9570_10190;-9570_10191;-9570_10192;-9569_10189;-9569_10190;-9569_10191;-9569_10192;-9569_10193;-9568_10190;-9568_10191;-9568_10192;-9567_10191,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=F14-012,
10,L0010,Upper Glencoe Fe Deposit,F14-007,Other metallic,Met,"Fe, Cu",Deposit,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit (Met). Deposit itself unclaimed.,,-9593_10223,13,325.0,35,1.0,,,45.92081,-61.3156,-9595_10223;-9594_10222;-9594_10223;-9594_10224;-9593_10221;-9593_10222;-9593_10223;-9593_10224;-9593_10225;-9592_10222;-9592_10223;-9592_10224;-9591_10223,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=F14-007,
