rank,lead_id,name,minfile,primary_metal,metals_abbr,commodity,status,deposit_open,hard_to_stake,nearest_community,community_type,community_km,deposit_size,grade_str,tonnes_str,resource_cat,drill_highlights,exploration_spend,exploration_spend_str,n_reports,last_work_year,operators,basis,encumbrances,core_cell,n_cells,cells_area_ha,score,grade_conf,production,lat,lon,cell_ids,minfile_url,capsule
1,L0001,EM,085ISW0096,Other metallic,Met,,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10386_13906,13,325.0,23,1.0,,62.46251,-113.31674,-10388_13906;-10387_13905;-10387_13906;-10387_13907;-10386_13904;-10386_13905;-10386_13906;-10386_13907;-10386_13908;-10385_13905;-10385_13906;-10385_13907;-10384_13906,,
2,L0002,SPOT,085ISW0097,Other metallic,Met,,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10375_13910,13,325.0,23,1.0,,62.47921,-113.19584,-10377_13910;-10376_13909;-10376_13910;-10376_13911;-10375_13908;-10375_13909;-10375_13910;-10375_13911;-10375_13912;-10374_13909;-10374_13910;-10374_13911;-10373_13910,,
3,L0003,Breakdown Bay,085JNE0019,Other metallic,Met,,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10475_13926,13,325.0,23,1.0,,62.55281,-114.28784,-10477_13926;-10476_13925;-10476_13926;-10476_13927;-10475_13924;-10475_13925;-10475_13926;-10475_13927;-10475_13928;-10474_13925;-10474_13926;-10474_13927;-10473_13926,,
4,L0004,Vee Lake Soapstone,085JNE0047,Other metallic,Met,Carv,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10481_13926,13,325.0,23,1.0,,62.55361,-114.35144,-10483_13926;-10482_13925;-10482_13926;-10482_13927;-10481_13924;-10481_13925;-10481_13926;-10481_13927;-10481_13928;-10480_13925;-10480_13926;-10480_13927;-10479_13926,,
5,L0005,Bell Lake,085JNE0073,Other metallic,Met,,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10480_13989,13,325.0,23,1.0,,62.83331,-114.33614,-10482_13989;-10481_13988;-10481_13989;-10481_13990;-10480_13987;-10480_13988;-10480_13989;-10480_13990;-10480_13991;-10479_13988;-10479_13989;-10479_13990;-10478_13989,,
6,L0006,Bell Lake BIF,085JNE0102,Other metallic,Met,,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10479_13992,13,325.0,23,1.0,,62.84831,-114.33114,-10481_13992;-10480_13991;-10480_13992;-10480_13993;-10479_13990;-10479_13991;-10479_13992;-10479_13993;-10479_13994;-10478_13991;-10478_13992;-10478_13993;-10477_13992,,
7,L0007,VIC,085NSE0003,Other metallic,Met,U,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10685_14119,13,325.0,23,1.0,,63.41941,-116.57224,-10687_14119;-10686_14118;-10686_14119;-10686_14120;-10685_14117;-10685_14118;-10685_14119;-10685_14120;-10685_14121;-10684_14118;-10684_14119;-10684_14120;-10683_14119,,
8,L0008,NATEDU,085NNE0064,Other metallic,Met,,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10675_14215,13,325.0,23,1.0,,63.85001,-116.46674,-10677_14215;-10676_14214;-10676_14215;-10676_14216;-10675_14213;-10675_14214;-10675_14215;-10675_14216;-10675_14217;-10674_14214;-10674_14215;-10674_14216;-10673_14215,,
9,L0009,XIANA,085NNE0065,Other metallic,Met,,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10667_14226,13,325.0,23,1.0,,63.90001,-116.38614,-10669_14226;-10668_14225;-10668_14226;-10668_14227;-10667_14224;-10667_14225;-10667_14226;-10667_14227;-10667_14228;-10666_14225;-10666_14226;-10666_14227;-10665_14226,,
10,L0010,EMANA,085NNE0066,Other metallic,Met,,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10661_14241,13,325.0,23,1.0,,63.96671,-116.31674,-10663_14241;-10662_14240;-10662_14241;-10662_14242;-10661_14239;-10661_14240;-10661_14241;-10661_14242;-10661_14243;-10660_14240;-10660_14241;-10660_14242;-10659_14241,,
11,L0011,Stagg Quarry,085JNW0077,Other metallic,Met,Buil,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10611_13970,13,325.0,23,1.0,,62.75001,-115.76784,-10613_13970;-10612_13969;-10612_13970;-10612_13971;-10611_13968;-10611_13969;-10611_13970;-10611_13971;-10611_13972;-10610_13969;-10610_13970;-10610_13971;-10609_13970,,
12,L0012,Lambert Vein,085PNW0022,Other metallic,Met,,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10424_14180,13,325.0,23,1.0,,63.69141,-113.73254,-10426_14180;-10425_14179;-10425_14180;-10425_14181;-10424_14178;-10424_14179;-10424_14180;-10424_14181;-10424_14182;-10423_14179;-10423_14180;-10423_14181;-10422_14180,,
13,L0013,15-01,085PNW0023,Other metallic,Met,,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10420_14184,13,325.0,23,1.0,,63.70831,-113.69084,-10422_14184;-10421_14183;-10421_14184;-10421_14185;-10420_14182;-10420_14183;-10420_14184;-10420_14185;-10420_14186;-10419_14183;-10419_14184;-10419_14185;-10418_14184,,
14,L0014,4218,085PNW0030,Other metallic,Met,,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10383_14196,13,325.0,23,1.0,,63.76421,-113.28614,-10385_14196;-10384_14195;-10384_14196;-10384_14197;-10383_14194;-10383_14195;-10383_14196;-10383_14197;-10383_14198;-10382_14195;-10382_14196;-10382_14197;-10381_14196,,
15,L0015,Bigspruce Lake Complex,085ONW0014,Other metallic,Met,,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10627_14147,13,325.0,23,1.0,,63.54581,-115.94584,-10629_14147;-10628_14146;-10628_14147;-10628_14148;-10627_14145;-10627_14146;-10627_14147;-10627_14148;-10627_14149;-10626_14146;-10626_14147;-10626_14148;-10625_14147,,
16,L0016,Lucky Lake,085PSW0034,Other metallic,Met,,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10448_14056,13,325.0,23,1.0,,63.13421,-113.99644,-10450_14056;-10449_14055;-10449_14056;-10449_14057;-10448_14054;-10448_14055;-10448_14056;-10448_14057;-10448_14058;-10447_14055;-10447_14056;-10447_14057;-10446_14056,,
17,L0017,Zero,086ASE0002,Other metallic,Met,,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10314_14315,13,325.0,23,1.0,,64.29722,-112.53194,-10316_14315;-10315_14314;-10315_14315;-10315_14316;-10314_14313;-10314_14314;-10314_14315;-10314_14316;-10314_14317;-10313_14314;-10313_14315;-10313_14316;-10312_14315,,
18,L0018,Grizzly Lake,086BNW0045,Other metallic,Met,,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10589_14360,13,325.0,23,1.0,,64.50061,-115.52864,-10591_14360;-10590_14359;-10590_14360;-10590_14361;-10589_14358;-10589_14359;-10589_14360;-10589_14361;-10589_14362;-10588_14359;-10588_14360;-10588_14361;-10587_14360,,
19,L0019,JAN,086BSW0007,Other metallic,Met,Zn,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10561_14324,13,325.0,23,1.0,,64.33971,-115.22444,-10563_14324;-10562_14323;-10562_14324;-10562_14325;-10561_14322;-10561_14323;-10561_14324;-10561_14325;-10561_14326;-10560_14323;-10560_14324;-10560_14325;-10559_14324,,
20,L0020,ART,086BSW0013,Other metallic,Met,,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10558_14279,13,325.0,23,1.0,,64.13611,-115.18834,-10560_14279;-10559_14278;-10559_14279;-10559_14280;-10558_14277;-10558_14278;-10558_14279;-10558_14280;-10558_14281;-10557_14278;-10557_14279;-10557_14280;-10556_14279,,
21,L0021,Bar-bet,086BSW0014,Other metallic,Met,,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10557_14277,13,325.0,23,1.0,,64.12971,-115.18034,-10559_14277;-10558_14276;-10558_14277;-10558_14278;-10557_14275;-10557_14276;-10557_14277;-10557_14278;-10557_14279;-10556_14276;-10556_14277;-10556_14278;-10555_14277,,
22,L0022,CHALCO,086BSW0017,Other metallic,Met,Zn-Au,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10545_14324,13,325.0,23,1.0,,64.33921,-115.04614,-10547_14324;-10546_14323;-10546_14324;-10546_14325;-10545_14322;-10545_14323;-10545_14324;-10545_14325;-10545_14326;-10544_14323;-10544_14324;-10544_14325;-10543_14324,,
23,L0023,Mag,086BSW0021,Other metallic,Met,Zn,Prospective Lithology,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospective Lithology (Met). Deposit itself unclaimed.,,-10543_14326,13,325.0,23,1.0,,64.34721,-115.03064,-10545_14326;-10544_14325;-10544_14326;-10544_14327;-10543_14324;-10543_14325;-10543_14326;-10543_14327;-10543_14328;-10542_14325;-10542_14326;-10542_14327;-10541_14326,,
