rank,lead_id,name,minfile,primary_metal,metals_abbr,commodity,status,deposit_open,hard_to_stake,nearest_community,community_type,community_km,deposit_size,grade_str,tonnes_str,resource_cat,drill_highlights,exploration_spend,exploration_spend_str,n_reports,last_work_year,operators,basis,encumbrances,core_cell,n_cells,cells_area_ha,score,grade_conf,production,last_prod_year,lat,lon,cell_ids,minfile_url,capsule
1,L0001,Cullaton Mine,065GSE0016,Gold,Au-Ag-Met-Cu,"Gold, Silver, As, Copper",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Au-Ag-Met-Cu). Deposit itself unclaimed.,,-8751_13640,10,250.0,35,1.0,,,61.2669,-98.4991,-8752_13639;-8752_13640;-8752_13641;-8751_13639;-8751_13640;-8751_13641;-8751_13642;-8750_13639;-8750_13640;-8750_13641,http://nunavutgeoscience.ca/apps/showing/showRprt.php?ia=1&sId=065GSE0016,
2,L0002,Shear Lake,065GSE0009,Gold,Au-Ag,"Gold, Silver",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Au-Ag). Deposit itself unclaimed.,,-8751_13649,3,75.0,35,1.0,,,61.3057,-98.5033,-8751_13648;-8751_13649;-8751_13650,http://nunavutgeoscience.ca/apps/showing/showRprt.php?ia=1&sId=065GSE0009,
3,L0003,steve test,016LSE0001,Other metallic,Met,nan,Minor Past Producer Renewed Exploration,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Minor Past Producer Renewed Exploration (Met). Deposit itself unclaimed.,,-5531_13860,13,325.0,30,1.0,,,62.2542,-62.2542,-5533_13860;-5532_13859;-5532_13860;-5532_13861;-5531_13858;-5531_13859;-5531_13860;-5531_13861;-5531_13862;-5530_13859;-5530_13860;-5530_13861;-5529_13860,http://nunavutgeoscience.ca/apps/showing/showRprt.php?ia=1&sId=016LSE0001,
4,L0004,Polaris,068HSE0003,Zinc,Zn-Pb,"Zinc, Lead",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Zn-Pb). Deposit itself unclaimed.,,-8611_16786,13,325.0,30,1.0,,,75.3989,-96.9253,-8613_16786;-8612_16785;-8612_16786;-8612_16787;-8611_16784;-8611_16785;-8611_16786;-8611_16787;-8611_16788;-8610_16785;-8610_16786;-8610_16787;-8609_16786,http://nunavutgeoscience.ca/apps/showing/showRprt.php?ia=1&sId=068HSE0003,
5,L0005,Eqe Bay Iron Zone #4,037CNE0006,Iron,Fe,Iron,Advanced Exploration,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Advanced Exploration (Fe). Deposit itself unclaimed.,,-6827_15512,13,325.0,19,1.0,,,69.674,-76.8459,-6829_15512;-6828_15511;-6828_15512;-6828_15513;-6827_15510;-6827_15511;-6827_15512;-6827_15513;-6827_15514;-6826_15511;-6826_15512;-6826_15513;-6825_15512,http://nunavutgeoscience.ca/apps/showing/showRprt.php?ia=1&sId=037CNE0006,
6,L0006,Mary River - No. 3a Deposit,037GSW0009,Iron,Fe,Iron,Advanced Exploration,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Advanced Exploration (Fe). Deposit itself unclaimed.,,-7026_15878,13,325.0,19,1.0,,,71.3188,-79.0811,-7028_15878;-7027_15877;-7027_15878;-7027_15879;-7026_15876;-7026_15877;-7026_15878;-7026_15879;-7026_15880;-7025_15877;-7025_15878;-7025_15879;-7024_15878,http://nunavutgeoscience.ca/apps/showing/showRprt.php?ia=1&sId=037GSW0009,
7,L0007,Eqe Bay Iron Zone #5,037CNE0007,Iron,Fe,Iron,Advanced Exploration,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Advanced Exploration (Fe). Deposit itself unclaimed.,,-6830_15510,13,325.0,19,1.0,,,69.6667,-76.875,-6832_15510;-6831_15509;-6831_15510;-6831_15511;-6830_15508;-6830_15509;-6830_15510;-6830_15511;-6830_15512;-6829_15509;-6829_15510;-6829_15511;-6828_15510,http://nunavutgeoscience.ca/apps/showing/showRprt.php?ia=1&sId=037CNE0007,
8,L0008,Eqe Bay Iron Zone #6,037CNE0008,Iron,Fe,Iron,Advanced Exploration,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Advanced Exploration (Fe). Deposit itself unclaimed.,,-6826_15510,13,325.0,19,1.0,,,69.6659,-76.8251,-6828_15510;-6827_15509;-6827_15510;-6827_15511;-6826_15508;-6826_15509;-6826_15510;-6826_15511;-6826_15512;-6825_15509;-6825_15510;-6825_15511;-6824_15510,http://nunavutgeoscience.ca/apps/showing/showRprt.php?ia=1&sId=037CNE0008,
9,L0009,Eqe Bay Iron Zone #7,037CNE0009,Iron,Fe,Iron,Advanced Exploration,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Advanced Exploration (Fe). Deposit itself unclaimed.,,-6834_15512,13,325.0,19,1.0,,,69.6766,-76.9245,-6836_15512;-6835_15511;-6835_15512;-6835_15513;-6834_15510;-6834_15511;-6834_15512;-6834_15513;-6834_15514;-6833_15511;-6833_15512;-6833_15513;-6832_15512,http://nunavutgeoscience.ca/apps/showing/showRprt.php?ia=1&sId=037CNE0009,
10,L0010,Eqe Bay,037CNE0010,Iron,Fe,Iron,Advanced Exploration,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Advanced Exploration (Fe). Deposit itself unclaimed.,,-6824_15512,13,325.0,19,1.0,,,69.6733,-76.8056,-6826_15512;-6825_15511;-6825_15512;-6825_15513;-6824_15510;-6824_15511;-6824_15512;-6824_15513;-6824_15514;-6823_15511;-6823_15512;-6823_15513;-6822_15512,http://nunavutgeoscience.ca/apps/showing/showRprt.php?ia=1&sId=037CNE0010,
