rank,lead_id,name,minfile,primary_metal,metals_abbr,commodity,status,deposit_open,hard_to_stake,nearest_community,community_type,community_km,deposit_size,grade_str,tonnes_str,resource_cat,drill_highlights,exploration_spend,exploration_spend_str,n_reports,last_work_year,operators,basis,encumbrances,core_cell,n_cells,cells_area_ha,score,grade_conf,production,last_prod_year,lat,lon,cell_ids,minfile_url,capsule
1,L0001,Mine Madeleine,1,Copper,Cu-Zn-Ag,"Copper, Zinc, Silver",Past Producer,True,False,,,,8.1 Mt,"Cu 1.9%, Ag 9.00 g/t",8.1 Mt,,drill-tested,0.0,,0,,,Past Producer (Cu-Zn-Ag). Deposit itself unclaimed.,,-9587_10911,7,175.0,60,0.8,Produced 1969–1982: 8.1 Mt,1982.0,49.01028,-66.0037,-9587_10911;-9587_10912;-9587_10913;-9586_10910;-9586_10911;-9586_10912;-9585_10911,https://sigeom.mines.gouv.qc.ca/signet/classes/I1102_afchDetlLien?l=f&entt=I0001_corpsMineralise&noSeqnEntt=2916,"Les teneurs moyennes de la production étaient de 1.08% Cu + 9.0 g/t Ag. Les sondaes ont retourné des intersections allant jusqu'à 1.6% Cu sur 71.6 m et 1.9% Cu sur 60.4 m (ddh #18 et #20, GM 18910). Les minéraux métalliques les plus communs sont la pyrrhotine, la bornite et la chalcopyrite, accompagnés de pyrite, de sphalérite, de safflorite et de cobaltite. On fait aussi mention de traces de tetrahédrite, de breithauptite, de linnaeite, de nicc olite, de rammelsbergite, de pararammelsbergite, de cubanite et de stromeyerite. On signale aussi un assemblage de minéraux d'altération supergène tels que la digénite, la djurleite, la covellite (argentifère) et en surface à de la malachite, azurite . Chaque amas de minerai montre une zonalité minéralogique similaire. Au centre, c'est-à-dire le long de la partie  centrale ou axiale de l'amas, la bornite prédomine alors que la chalcopyrite est à peine présente. En s'éloignant de la partie central e, la bornite devient de moins en moins abondante alors que l'inverse se produit pour la chalcopyrite. Finalement, en périphérie, la pyrrhotite apparaît alors que seule la chalcopyrite subsiste. On note que certaines de zones minéralisées, en particu lier la zone principale, montre une zonation minérale très claire passant progressivement d'une zone externe à pyrrhotine à une zone à pyrrhotine+chalcopyrite, puis une zone à chalcopyrite, puis chalcopyrite+bornite et finalement une zone centrale à  bornite (MB 84-11). Minerai : 8 133 848 t à 1,"
2,L0002,Mine Eustis,1,Zinc,Zn-Cu-Pb-Au,"Zinc, Copper, Lead, Gold, Silver",Past Producer,True,False,,,,1.6 Mt,"Cu 3%, Zn 2%, Ag 14.10 g/t",1.6 Mt,,drill-tested,0.0,,0,,,Past Producer (Zn-Cu-Pb-Au). Deposit itself unclaimed.,,-10447_10089,13,325.0,58,0.7,Produced 1865–1939: 1.6 Mt,1939.0,45.3192,-71.92023,-10449_10089;-10448_10088;-10448_10089;-10448_10090;-10447_10087;-10447_10088;-10447_10089;-10447_10090;-10447_10091;-10446_10088;-10446_10089;-10446_10090;-10445_10089,https://sigeom.mines.gouv.qc.ca/signet/classes/I1102_afchDetlLien?l=f&entt=I0001_corpsMineralise&noSeqnEntt=4362,"TENEURS  (Voir production et réserves : 2,7% Cu et 3% Cu.) -Forage (GM 47381) : EUS-88-12 : 20000 ppm Zn, 14,1 g/t Ag, 204 ppm Pb, 4480 ppm Cu et 0,04 g/t au sur 1,5 m à 42,7 m ; 10800 ppm Zn, 1,1 g/t Ag et 610 ppm Cu sur 1,4 m à 106,8 m ; 17200 ppm  Zn, 10,2 g/t Ag, 1250 ppm Pb et 288 ppm Cu sur 1,5 m à 44,2 m. La minéralisation est constituée de chalcopyrite (1 à 20%) xénoblastique, de galène xénoblastique, de sphalérite (1%) xénoblastique, de pyrite (70 à 75%) sub-idioblastique, de pyrrhotine et de tetraedrite-tennantite (traces). Entre 1865 et 1939, la mine a extrait 1 610 800 t de minerai à une teneur de 2,7% Cu, pour un total métal de 39 400 t Cu, 76 kg Au, 10 684 kg Ag et 143 474 t Py.  La mine a été en opération continue de 1865 à 1872, la poduction fut intermittente de 1919 à 1923.                                   
 Gîte avec affleurement découvert en 1865 par prospection."
3,L0003,Ruisseau Basket,1,Copper,Cu-Ag,"Copper, Silver",Prospect,True,False,,,,no tonnage on record,"Cu 14.2%, Ag 8.57 g/t",,,drill-tested,0.0,,0,,,Prospect (Cu-Ag). Deposit itself unclaimed.,,-9701_10707,13,325.0,55,0.8,,,48.09296,-66.78681,-9703_10707;-9702_10706;-9702_10707;-9702_10708;-9701_10705;-9701_10706;-9701_10707;-9701_10708;-9701_10709;-9700_10706;-9700_10707;-9700_10708;-9699_10707,https://sigeom.mines.gouv.qc.ca/signet/classes/I1102_afchDetlLien?l=f&entt=I0001_corpsMineralise&noSeqnEntt=3454,"Teneurs : Les plus fortes teneurs en cuivre se trouvent dans des fractures sillonnant les skarns à chlorite et à chlorite-épidote. Dans le skarn à grenat, la teneur en cuivre est intéressante, mais moins élevée. Les sondages ont donné des teneurs comme suit : 15 (GM 26043) : 0,17 % Cu sur 12,07 m et diverses petites sections de quelques cm de 1,78 % à 14,2 % Cu (1,78 % Cu sur 15 cm, 2,36 % Cu sur 18 cm, 1,90 % Cu sur 15 cm, 2,70 % Cu sur 6 cm, 4,13 % Cu sur 5 cm (passée massive), 10,83 % Cu sur 9 cm (passée massive), 14,20 % Cu sur 12 cm (passée massive)). Une ressource historique possible d'une teneur moyenne de 0,57 % Cu et 8,57 g/t Ag (GM 31282) a été estimée. La minéralisation est généralement plus développée au contact avec le dyke. Elle est tantôt massive, tantôt  disséminée. Elle consiste en pyrite, et pyrrhotine avec une faible proportion de chalcopyrite, de chalcosine, de bornite et de traces de sphalérite et de galène.  Affleurement découvert par SOQUEM, en 1967, par le creusement de tranchées sur une anomalie géochimique. Cette zone minéralisée est aussi connue sous le nom de Mann no 1."
4,L0004,Big Dragon,1,Gold,Au,Gold,Prospect,True,False,,,,no tonnage on record,Au 6.57 g/t,,,drill-tested,0.0,,0,,,Prospect (Au). Deposit itself unclaimed.,,-9704_10738,13,325.0,55,0.5,,,48.23154,-66.80576,-9706_10738;-9705_10737;-9705_10738;-9705_10739;-9704_10736;-9704_10737;-9704_10738;-9704_10739;-9704_10740;-9703_10737;-9703_10738;-9703_10739;-9702_10738,https://sigeom.mines.gouv.qc.ca/signet/classes/I1102_afchDetlLien?l=f&entt=I0001_corpsMineralise&noSeqnEntt=3458,"L'échantillon choisi, #FV-033-2000, a donné 2 051 ppb Au (GM 59577). Les résultats de l'échantillonnage en rainure donnent (GM 60020): -rainure R1: 2 028 ppb Au sur 4,4 m éponte comprise, incluant une section titrant 4 046 ppb Au sur 1,0 m; -rainure  R2: 465 ppb Au sur 2,4 m; -rainure R4: 697 ppb Au sur 4,0 m. Le meilleur résultat des échantillons choisis le long de la veine a donné 4 863 ppb Au prélevé dans le voisinage de la rainure R1. Les teneurs élevées en or de cette veine ne sont pas associées à d'autres éléments, hormis l'arsenic mais très faiblement (60 à 198 ppm As). L'or est associé à la présence de pyrite, qui sans elle, les teneurs en or sont faibles, voir nulles. GM 68356: deux échantillons choisis ont donné 6,57 ppm Au et 0,779 ppm Au (éch. P276071 et P177271 respectivement). GM 68357: les meilleurs résultats parmi les forages effectués en 2012 sont 1,805 ppm Au sur 0,35 m, 0,336 ppm Au sur 0,85 m et 0,215 ppm Au sur 1 m. La minéralisation est présente sous forme de pyrite massive et en traces. On rapporte des veinules de pyrite massive dans la veine de quartz et en bordure de celle-ci. La présence de pyrite, de chlorite et de calcite en traces dans du quartz laiteux massif et en cristaux bien formés est aussi observée dans la veine de quartz. Les épontes sont argilitisées et enrichies en carbonate de fer, en hématite, en argile et en chlorite (GM 60020).  Cette zone minéralisée a été découverte dans les années 80 par prospection de base."
5,L0005,Principal (Zone Olga),1,Copper,Cu-Ag-Au-Met,"Copper, Silver, Gold, Arsenic",Prospect,True,False,,,,no tonnage on record,"Au 405.20 g/t, Cu 3.83%, Ag 121.37 g/t",,,drill-tested,0.0,,0,,,Prospect (Cu-Ag-Au-Met). Deposit itself unclaimed.,,-11197_11084,13,325.0,55,0.8,,,49.78784,-77.08529,-11199_11084;-11198_11083;-11198_11084;-11198_11085;-11197_11082;-11197_11083;-11197_11084;-11197_11085;-11197_11086;-11196_11083;-11196_11084;-11196_11085;-11195_11084,https://sigeom.mines.gouv.qc.ca/signet/classes/I1102_afchDetlLien?l=f&entt=I0001_corpsMineralise&noSeqnEntt=3435,"14,75 g/t Au, 10,3 g/t Ag et 1,14% Cu sur 1,50 m (sondage 90-76); 3,41 g/t Au, 24,0 g/t Ag et 0,21% Cu sur 3,95 m (sondage 89-55); 24,36 g/t Au et 11,5 g/t Ag sur 1,62 m (sondage 90-84); 405,20 g/t Au, 6,7 g/t Age t 0,73% Cu sur 0,10 m (sondage 89-45);           2,91 g/t Au, 121,37 g/t Ag et 3,83% Cu sur 0,35 m (sond. 89-44); 14,66 g/t Au, 37,5 g/t Ag et 0,61% Cu sur 0,32 m (sondage 90-85)  Note:  À 900 m à l'ouest de l'indice principal, un échantillo n choisi prélevé dans un schiste à séricite-quartz-tourmaline-pyrite rapporta 5,48 g/t Au (éch. no 332762, GM 48395) et deux échantillons en rainure prélevés dans une tranchée, à proximité de l'affleurement, ont titré respectivement 10,5 g/t Ag sur 0 ,5 m et 7,3 g/t Ag sur 1,0 m. La tourmalinite est composée de 20 à 70 % de tourmaline, de 30 à 50 % de quartz, de moins de 5 % de feldspath, de 5 à 30 % de pyrite, de 5 à 10 % d'arsénopyrite et de 0 à 3 % de chalcopyrite.   Le schiste à tourmaline contient 0,5 à 25 % de tourmalin e disséminée et <20 % de pyrite.  Il y a deux types de minéralisation: primaire et secondaire.  - 1) La minéralisation primaire est soit contenue dans la tourmalinite, soit déposée dans celles-ci au contact avec le schiste.  - 2) la minéralisation se condaire est liée à la circulation de fluides hydrothermaux dans le schiste à séricite encaissant.  Gîte avec affleurement découvert en 1989 par sondage."
6,L0006,Amaruk,1,Gold,Au-Ag,"Gold, Silver",Prospect,True,False,,,,no tonnage on record,"Au 84.26 g/t, Ag 18.20 g/t",,,drill-tested,0.0,,0,,,Prospect (Au-Ag). Deposit itself unclaimed.,,-10874_13269,13,325.0,55,0.7,,,59.60263,-74.86282,-10876_13269;-10875_13268;-10875_13269;-10875_13270;-10874_13267;-10874_13268;-10874_13269;-10874_13270;-10874_13271;-10873_13268;-10873_13269;-10873_13270;-10872_13269,https://sigeom.mines.gouv.qc.ca/signet/classes/I1102_afchDetlLien?l=f&entt=I0001_corpsMineralise&noSeqnEntt=1859,"L'échantillon de la découverte a retourné une teneur de 2525 ppb Au (affleurement JH-95-23, GM 54571). En 1996 (GM 54571), les échantillons prélevés dans le secteur ont rapporté des teneurs de: - 41.89 g/t Au (réanalyse: 35 524 ppb Au: éch. 525904, G C-96-P39). - 3064 ppb Au (éch. 525711, GC-96-P3). - 5425 ppb Au (éch. 525748, GC-96-P36). - 2801 ppb Au (éch. 525902, GC-96-P38).  Les travaux d'exploration réalisés en 1997 ont retourné les teneurs suivantes (GM 55885): - 17.16 g/t Au (éch. choisi 69 9614). - 14.78 g/t Au (éch. choisi 699847). -  9.13 g/t Au (éch. choisi 699838). - 14.14 g/t Au sur 4.90 m, incl. 84.26 g/t Au et 18.2 g/t Ag sur 0.70 m (TR-97-02A). -  8.86 g/t Au sur 3.16 m, incl. 12.39 g/t Au sur 2.10 m (TR-97-01). - 16.14 g/t Au  sur 3.30 m, incl. 21.09 g/t Au sur 2.50 m (TR-97-04 nord). -  2.74 g/t Au sur 1.35 m (TR-97-05).  Les meilleurs intersections obtenues en sondages sont (GM 55885): -  4.61 g/t Au sur 8.40 m, incl. 8.23 g/t Au sur 3.40 m (sondage 11212-97-06). - 24.3 6 g/t Au sur 0.75 m (sondage 11212-97-04). -  1.20 g/t Au sur 1.55 m (sondage 11212-97-03). -  1.71 g/t Au sur 1.50 m (sondage 11212-97-05).  Les teneurs en argent sont généralement basses et ne dépassent pas1 g/t. La minéralisation est composée de 2 à 15 %, localement 50 % de sulfures. Les phases sulfurées sont massives et essentiellement composées de pyrrhotine (< 15 %), arsénopyrite et pyrite. On observe la présence de nombreuses injections/mobilisats de quart z, grenat, biotite avec parf"
7,L0007,MHY B (97-C340),1,Copper,Cu-Ni-Co,"Copper, Nickel, Cobalt",Prospect,True,False,,,,no tonnage on record,"Cu 2.57%, Ni 1.18%, Co 0.15%",,,drill-tested,0.0,,0,,,Prospect (Cu-Ni-Co). Deposit itself unclaimed.,,-10252_11097,13,325.0,55,0.8,,,49.84595,-70.57626,-10254_11097;-10253_11096;-10253_11097;-10253_11098;-10252_11095;-10252_11096;-10252_11097;-10252_11098;-10252_11099;-10251_11096;-10251_11097;-10251_11098;-10250_11097,https://sigeom.mines.gouv.qc.ca/signet/classes/I1102_afchDetlLien?l=f&entt=I0001_corpsMineralise&noSeqnEntt=1329,"GM 56023 : L'échantillon choisi 689540 provenant du dynamitage GF-97-C340 a rapporté : 0,89 % Cu, 0,31 % Ni et 0,03  Co. Les forages 1279-00 (GM 58815) ont recoupé plusieurs horizons de sulfures massifs et une sous-zone sous-jacente de sulfures disséminés, en veinules et en filonnets enrichis en cuivre. Les sulfures massifs consistent en 85 à 95% de pyrrhotite, traces à 5% de chalcopyrite et 5 à 10% de fragments de roche. La zone disséminée renferme 3 à 5% de pyrrhotite et de chalcopyrite. Les gabbros renferment aussi de l'ilménite (jusqu'à 10%) et de l'apatite (1 à 2%).  Découvert en 1997 par sondage sur des anomalies géophysiques."
8,L0008,Lachance #2,2,Lead,Pb-Mo-Cu-Zn,"Lead, Molybdenum, Copper, Zinc, Silver",Prospect,True,False,,,,no tonnage on record,"Cu 2.45%, Mo 0.777%, Ag 41.20 g/t, Pb 2.64%, Zn 0.0319%",,,drill-tested,0.0,,0,,,Prospect (Pb-Mo-Cu-Zn). Deposit itself unclaimed.,,-10416_10239,7,175.0,55,0.8,,,45.99171,-71.70617,-10416_10238;-10416_10239;-10416_10240;-10416_10241;-10415_10238;-10415_10239;-10415_10240,https://sigeom.mines.gouv.qc.ca/signet/classes/I1102_afchDetlLien?l=f&entt=I0001_corpsMineralise&noSeqnEntt=2266,"TENEURS -Échantillons choisis (MB 87-39) : TE-2-1 : 1,44% Cu, 202 ppm Zn, 269 ppm Pb et 914 ppm Mo ; T1-1 : 1760 ppm Cu et 474 ppm Mo ; -Forage (GM 18225) : #5 : 0,95% Cu sur 18 cm à 85 m ; -Échantillons choisis (GM 58487) :  821673 : 13,52% Cu, 41,2  g/t Ag et 2093 ppm Mn ; 821674 : 7073 ppm Cu, 2,2 g/t Ag et 10621 ppm Mn ; 821675 : 1,28% Cu, 11,2 g/t Ag, 423 ppm Pb, 319 ppm Zn et 7766 ppm Mn ; 821678 : 2,45% Cu, 8,4 g/t Ag et 1694 ppm Mn ; 821681 : 5834 ppm Mo. La minéralisation est constituée de chalcopyrite (1 à 5%), de molybdénite (traces à 2%) et de malachite en amas irréguliers disséminés dans les veines de quartz-carbonate. On retrouve aussi de la chalcopyrite et de la malachite dans les plans de schi stosité et en bordure des veines dans le schiste.  L'indice a été découvert en 1965 par forages."
9,L0009,Petit Lac Brompton,1,Nickel,Ni-Cu-Ag-Au,"Nickel, Copper, Silver, Gold",Prospect,True,False,,,,no tonnage on record,"Cu 11.8%, Au 0.60 g/t, Ni 0.39%",,,drill-tested,0.0,,0,,,Prospect (Ni-Cu-Ag-Au). Deposit itself unclaimed.,,-10474_10118,9,225.0,55,0.8,,,45.44828,-72.1057,-10476_10118;-10475_10118;-10475_10119;-10474_10118;-10474_10119;-10474_10120;-10473_10118;-10473_10119;-10472_10118,https://sigeom.mines.gouv.qc.ca/signet/classes/I1102_afchDetlLien?l=f&entt=I0001_corpsMineralise&noSeqnEntt=2274,"Teneurs : 11,80 % Cu, 0,39 % Ni et 0,6 g/t Au sur 1,8 m (échantillons 303 et 304, sondage no 1, GM 28294); 2,58 % Cu sur 2,1 m (échantillons 326 à 328, sondage no 7, GM 28294). À 600 m au nord, sur la rive Nord du Petit lac Brompton, des teneurs en cuivre et nickel sont rapportées (GM 58436). La minéralisation est disséminée à semi-massive. Elle est constituée de chalcopyrite, pyrrhotite et pyrite. Les horizons de sulfures semi-massifs sont composés essentiellement de chalcopyrite avec un peu de pyrrhotite et de pyrite. Dans un forage, un  horizon de 2,45 m avec 30 % de chalcopyrite a été intercepté. On observe aussi une minéralisation de type stockwerk (veinules de chalcopyrite et quartz) recoupant la rhyolite chloritisée. À la lumière des informations fournies par les travaux, ce type de minéralisation peut-être comparé avec les zones de Brompton Copper et Brompton Copper Extension.  Autres : De nombreuses intersections minéralisées en talc sous forme de stéatite et de serpentinite partiellement stéatitisée ont été rencontrées dans des sondages. Il s'agit des trous M-1, M-2, M-5 et M-13 effectués en 1956 par Quebec Copper (GM-04217C), des trous BL-54 et 55 effectués en 1967 par Canadian Johns Mansville (GM-19548) et des trous 1, 2, 3 et 5  effectués en 1973  par Silvermaque Mining (GM-28294).  Les premières teneurs provenant de ce site datent de 1972 et proviennent de sondages implantés sur une anomalie géophysique. Par contre, la compagnie Bell Asbestos réalise les premier"
10,L0010,Glencoe,1,Copper,Cu-Ag,"Copper, Silver",Prospect,True,False,,,,no tonnage on record,"Cu 4.28%, Ag 3.00 g/t",,,drill-tested,0.0,,0,,,Prospect (Cu-Ag). Deposit itself unclaimed.,,-10527_10091,13,325.0,55,0.8,,,45.32873,-72.47421,-10529_10091;-10528_10090;-10528_10091;-10528_10092;-10527_10089;-10527_10090;-10527_10091;-10527_10092;-10527_10093;-10526_10090;-10526_10091;-10526_10092;-10525_10091,https://sigeom.mines.gouv.qc.ca/signet/classes/I1102_afchDetlLien?l=f&entt=I0001_corpsMineralise&noSeqnEntt=2281,"0,96 % Cu et 3,0 g/t Ag (échantillon choisi #1, Gauthier, M. et al, 1985); 1,98% Cu sur 2,1 m (sondage no. 4, GM 05253-B);           4,28% Cu sur 2,0 m (sondage no. 5, GM 05253-B). La minéralisation se présente de deux façons. Premièrement, de la chalcopyrite et bornite disséminées dans la roche, le long des plans de schistosité (jusqu'à 50 %) et avec localement de la magnétite. Deuxièmement, des veinules (mm-cm) de quartz- calcite-actinote-épidote orientées parallèlement à la schistosité et contenant de la chalcopyrite et de la pyrite disséminées (Gauthier el al, 1985). Un puits d'exploration a permis de voir une andésite schisteuse contenant de la pyrite et un minéral disséminé qui semble être de la chalcopyrite. Le forage 5-1 implanté au dessous de ce puits n'a pas recoupé de minéralisation significative. Le forage 5-4, implanté près de la zone de puits, a intersecté environ 1 m de minéralisation cuprifère composé de  chalcopyrite et de chalcocine (GM 05253).   Gîte avec affleurement découvert par prospection en 1866 ou avant."
