rank,lead_id,name,minfile,primary_metal,metals_abbr,commodity,status,deposit_open,hard_to_stake,nearest_community,community_type,community_km,deposit_size,grade_str,tonnes_str,resource_cat,drill_highlights,exploration_spend,exploration_spend_str,n_reports,last_work_year,operators,basis,encumbrances,core_cell,n_cells,cells_area_ha,score,grade_conf,production,last_prod_year,lat,lon,cell_ids,minfile_url,capsule
1,L0001,JR Zone Uranium Mineralization,5991,Uranium,U,Uranium,Deposit: Advanced Exploration,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit: Advanced Exploration (U). Deposit itself unclaimed.,,-14076_12875,13,325.0,40,1.0,,,57.82975,-109.52398,-14078_12875;-14077_12874;-14077_12875;-14077_12876;-14076_12873;-14076_12874;-14076_12875;-14076_12876;-14076_12877;-14075_12874;-14075_12875;-14075_12876;-14074_12875,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/5991,
2,L0002,Powell Uranium Zone (Eagle Point Mine),5729,Uranium,U-Met-Co-Cu,"Uranium, Arsenic, Cobalt, Copper, Lead, Lithium, Nickel, Vanadium",Deposit: Advanced Exploration,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit: Advanced Exploration (U-Met-Co-Cu). Deposit itself unclaimed.,,-13312_12979,13,325.0,40,1.0,,,58.30035,-103.58243,-13314_12979;-13313_12978;-13313_12979;-13313_12980;-13312_12977;-13312_12978;-13312_12979;-13312_12980;-13312_12981;-13311_12978;-13311_12979;-13311_12980;-13310_12979,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/5729,
3,L0003,Spitfire Zone,5678,Uranium,U,Uranium,Deposit: Advanced Exploration,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit: Advanced Exploration (U). Deposit itself unclaimed.,,-14030_12844,13,325.0,40,1.0,,,57.69385,-109.17137,-14032_12844;-14031_12843;-14031_12844;-14031_12845;-14030_12842;-14030_12843;-14030_12844;-14030_12845;-14030_12846;-14029_12843;-14029_12844;-14029_12845;-14028_12844,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/5678,
4,L0004,Phantom Lake Mine,0009,Gold,Au-Cu-Ag-W,"Gold, Copper, Silver, Tungsten",Deposit: Advanced Exploration,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit: Advanced Exploration (Au-Cu-Ag-W). Deposit itself unclaimed.,,-13094_12174,13,325.0,40,1.0,,,54.68251,-101.88141,-13096_12174;-13095_12173;-13095_12174;-13095_12175;-13094_12172;-13094_12173;-13094_12174;-13094_12175;-13094_12176;-13093_12173;-13093_12174;-13093_12175;-13092_12174,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0009,
5,L0005,McMillan Mine; McMillan Gold Veins 1 to 4,0010,Gold,Au-Ag,"Gold, Silver",Deposit: Advanced Exploration,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit: Advanced Exploration (Au-Ag). Deposit itself unclaimed.,,-13092_12176,13,325.0,40,1.0,,,54.69195,-101.87002,-13094_12176;-13093_12175;-13093_12176;-13093_12177;-13092_12174;-13092_12175;-13092_12176;-13092_12177;-13092_12178;-13091_12175;-13091_12176;-13091_12177;-13090_12176,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0010,
6,L0006,Laurel Lake E Deposit or SMDC E Showing or part of Electrum Zone (Laurel D and E Deposits),0111b,Gold,Au-Cu-Pb-Zn,"Gold, Copper, Lead, Zinc",Deposit: Advanced Exploration,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit: Advanced Exploration (Au-Cu-Pb-Zn). Deposit itself unclaimed.,,-13142_12178,13,325.0,40,1.0,,,54.70195,-102.25557,-13144_12178;-13143_12177;-13143_12178;-13143_12179;-13142_12176;-13142_12177;-13142_12178;-13142_12179;-13142_12180;-13141_12177;-13141_12178;-13141_12179;-13140_12178,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0111b,
7,L0007,Laurel Lake B Deposit or SMDC B Showing or Baker Zone,0109,Gold,Au-Met-Cu,"Gold, Arsenic, Copper",Deposit: Advanced Exploration,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit: Advanced Exploration (Au-Met-Cu). Deposit itself unclaimed.,,-13141_12177,13,325.0,40,1.0,,,54.69695,-102.2539,-13143_12177;-13142_12176;-13142_12177;-13142_12178;-13141_12175;-13141_12176;-13141_12177;-13141_12178;-13141_12179;-13140_12176;-13140_12177;-13140_12178;-13139_12177,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0109,
8,L0008,Amisk Gold Deposit,0090,Gold,Au-Cu-Pb-Ag,"Gold, Copper, Lead, Silver, Zinc",Deposit: Advanced Exploration,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit: Advanced Exploration (Au-Cu-Pb-Ag). Deposit itself unclaimed.,,-13145_12180,11,275.0,40,1.0,,,54.7089,-102.28084,-13146_12179;-13146_12180;-13145_12178;-13145_12179;-13145_12180;-13145_12181;-13145_12182;-13144_12179;-13144_12180;-13144_12181;-13143_12180,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0090,
9,L0009,"SAM Cu-Zn Zone or SAM East Cu-Zn Zone, SAM West Cu -Zn Zone, and SAM Cu-Zn Deposit; TRAIL Cu Zone",0311,Copper,Cu-Au-Ag,"Copper, Gold, Silver",Deposit: Advanced Exploration,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit: Advanced Exploration (Cu-Au-Ag). Deposit itself unclaimed.,,-13124_12190,13,325.0,40,1.0,,,54.75417,-102.1153,-13126_12190;-13125_12189;-13125_12190;-13125_12191;-13124_12188;-13124_12189;-13124_12190;-13124_12191;-13124_12192;-13123_12189;-13123_12190;-13123_12191;-13122_12190,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0311,
10,L0010,Duddridge Lake Uranium Deposit,0700a,Uranium,U-Met-Co-Cu,"Uranium, Barium, Cobalt, Copper, Gold, Molybdenum, Silver",Deposit: Advanced Exploration,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Deposit: Advanced Exploration (U-Met-Co-Cu). Deposit itself unclaimed.,,-13642_12372,13,325.0,40,1.0,,,55.57223,-106.15141,-13644_12372;-13643_12371;-13643_12372;-13643_12373;-13642_12370;-13642_12371;-13642_12372;-13642_12373;-13642_12374;-13641_12371;-13641_12372;-13641_12373;-13640_12372,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0700a,
