rank,lead_id,name,minfile,primary_metal,metals_abbr,commodity,status,deposit_open,hard_to_stake,nearest_community,community_type,community_km,deposit_size,grade_str,tonnes_str,resource_cat,drill_highlights,exploration_spend,exploration_spend_str,n_reports,last_work_year,operators,basis,encumbrances,core_cell,n_cells,cells_area_ha,score,grade_conf,production,last_prod_year,lat,lon,cell_ids,minfile_url,capsule
1,L0001,Dublin Gulch,106D 025,Gold,Au-Ag,"Gold, Silver",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Au-Ag). Deposit itself unclaimed.,,-13934_14253,13,325.0,35,1.0,,,64.021,-135.822,-13936_14253;-13935_14252;-13935_14253;-13935_14254;-13934_14251;-13934_14252;-13934_14253;-13934_14254;-13934_14255;-13933_14252;-13933_14253;-13933_14254;-13932_14253,https://data.geology.gov.yk.ca/Occurrence/13910,
2,L0002,Mount Skukum-Lake Vein 2,105D 251,Gold,Au-Ag-Met,"Gold, Silver, Arsenic",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Au-Ag-Met). Deposit itself unclaimed.,,-13899_13405,13,325.0,35,1.0,,,60.21203,-135.47636,-13901_13405;-13900_13404;-13900_13405;-13900_13406;-13899_13403;-13899_13404;-13899_13405;-13899_13406;-13899_13407;-13898_13404;-13898_13405;-13898_13406;-13897_13405,https://data.geology.gov.yk.ca/Occurrence/17390,
3,L0003,Skukum Creek-Berg Zone,105D 250,Gold,Au-Ag-Met,"Gold, Silver, Arsenic",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Au-Ag-Met). Deposit itself unclaimed.,,-13892_13397,13,325.0,35,1.0,,,60.17503,-135.40914,-13894_13397;-13893_13396;-13893_13397;-13893_13398;-13892_13395;-13892_13396;-13892_13397;-13892_13398;-13892_13399;-13891_13396;-13891_13397;-13891_13398;-13890_13397,https://data.geology.gov.yk.ca/Occurrence/17389,
4,L0004,Skukum Creek-Rainbow II,105D 249,Gold,Au-Ag-Met,"Gold, Silver, Arsenic",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Au-Ag-Met). Deposit itself unclaimed.,,-13892_13397,13,325.0,35,1.0,,,60.17571,-135.40734,-13894_13397;-13893_13396;-13893_13397;-13893_13398;-13892_13395;-13892_13396;-13892_13397;-13892_13398;-13892_13399;-13891_13396;-13891_13397;-13891_13398;-13890_13397,https://data.geology.gov.yk.ca/Occurrence/17388,
5,L0005,Skukum Creek-Kuhn Zone,105D 248,Gold,Au-Ag-Met,"Gold, Silver, Arsenic",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Au-Ag-Met). Deposit itself unclaimed.,,-13891_13397,13,325.0,35,1.0,,,60.17573,-135.40284,-13893_13397;-13892_13396;-13892_13397;-13892_13398;-13891_13395;-13891_13396;-13891_13397;-13891_13398;-13891_13399;-13890_13396;-13890_13397;-13890_13398;-13889_13397,https://data.geology.gov.yk.ca/Occurrence/17387,
6,L0006,Inferno,115I 225,Copper,Cu-Ag-Au,"Copper, Silver, Gold",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Cu-Ag-Au). Deposit itself unclaimed.,,-14080_13942,13,325.0,35,1.0,,,62.625,-137.247,-14082_13942;-14081_13941;-14081_13942;-14081_13943;-14080_13940;-14080_13941;-14080_13942;-14080_13943;-14080_13944;-14079_13941;-14079_13942;-14079_13943;-14078_13942,https://data.geology.gov.yk.ca/Occurrence/17386,
7,L0007,Ridgetop West,115I 224,Copper,Cu-Ag-Au,"Copper, Silver, Gold",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Cu-Ag-Au). Deposit itself unclaimed.,,-14081_13938,13,325.0,35,1.0,,,62.605,-137.255,-14083_13938;-14082_13937;-14082_13938;-14082_13939;-14081_13936;-14081_13937;-14081_13938;-14081_13939;-14081_13940;-14080_13937;-14080_13938;-14080_13939;-14079_13938,https://data.geology.gov.yk.ca/Occurrence/17385,
8,L0008,OP,105I 053,Zinc,Zn-Pb,"Zinc, Lead",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Zn-Pb). Deposit itself unclaimed.,,-13301_13936,13,325.0,35,1.0,,,62.59778,-129.65222,-13303_13936;-13302_13935;-13302_13936;-13302_13937;-13301_13934;-13301_13935;-13301_13936;-13301_13937;-13301_13938;-13300_13935;-13300_13936;-13300_13937;-13299_13936,https://data.geology.gov.yk.ca/Occurrence/13400,
9,L0009,Pelly North,105I 069,Zinc,Zn-Pb,"Zinc, Lead",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Zn-Pb). Deposit itself unclaimed.,,-13315_13945,13,325.0,35,1.0,,,62.63611,-129.78639,-13317_13945;-13316_13944;-13316_13945;-13316_13946;-13315_13943;-13315_13944;-13315_13945;-13315_13946;-13315_13947;-13314_13944;-13314_13945;-13314_13946;-13313_13945,https://data.geology.gov.yk.ca/Occurrence/15125,
10,L0010,Anniv West,105I 075,Lead,Pb-Zn,"Lead, Zinc",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Pb-Zn). Deposit itself unclaimed.,,-13294_13932,8,200.0,35,1.0,,,62.578,-129.577,-13296_13932;-13295_13931;-13295_13932;-13295_13933;-13294_13930;-13294_13931;-13294_13932;-13294_13933,https://data.geology.gov.yk.ca/Occurrence/17437,
11,L0011,Venus,105D 005,Gold,Au-Ag-Pb-Zn,"Gold, Silver, Lead, Zinc, Cadmium",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Au-Ag-Pb-Zn). Deposit itself unclaimed.,,-13812_13363,13,325.0,35,1.0,,,60.025,-134.63472,-13814_13363;-13813_13362;-13813_13363;-13813_13364;-13812_13361;-13812_13362;-13812_13363;-13812_13364;-13812_13365;-13811_13362;-13811_13363;-13811_13364;-13810_13363,https://data.geology.gov.yk.ca/Occurrence/12791,
12,L0012,Logjam-Main,105B 038,Silver,Ag-Au-Zn-Pb,"Silver, Gold, Zinc, Lead",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Ag-Au-Zn-Pb). Deposit itself unclaimed.,,-13501_13362,13,325.0,35,1.0,,,60.01996,-131.60149,-13503_13362;-13502_13361;-13502_13362;-13502_13363;-13501_13360;-13501_13361;-13501_13362;-13501_13363;-13501_13364;-13500_13361;-13500_13362;-13500_13363;-13499_13362,https://data.geology.gov.yk.ca/Occurrence/12624,
13,L0013,Silver Hart-TM Zone,105B 021,Silver,Ag-Zn-Pb,"Silver, Zinc, Lead",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Ag-Zn-Pb). Deposit itself unclaimed.,,-13412_13430,13,325.0,35,1.0,,,60.32578,-130.73203,-13414_13430;-13413_13429;-13413_13430;-13413_13431;-13412_13428;-13412_13429;-13412_13430;-13412_13431;-13412_13432;-13411_13429;-13411_13430;-13411_13431;-13410_13430,https://data.geology.gov.yk.ca/Occurrence/12609,
14,L0014,Casino,115J 028,Copper,Cu-Mo-Ag-Au,"Copper, Molybdenum, Silver, Gold",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Cu-Mo-Ag-Au). Deposit itself unclaimed.,,-14243_13967,13,325.0,35,1.0,,,62.73778,-138.82806,-14245_13967;-14244_13966;-14244_13967;-14244_13968;-14243_13965;-14243_13966;-14243_13967;-14243_13968;-14243_13969;-14242_13966;-14242_13967;-14242_13968;-14241_13967,https://data.geology.gov.yk.ca/Occurrence/15019,
15,L0015,Matt Berry,105H 021,Antimony,Sb-Pb-Zn-Ag,"Antimony, Lead, Zinc, Silver, Gold",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Sb-Pb-Zn-Ag). Deposit itself unclaimed.,,-13276_13686,13,325.0,35,1.0,,,61.47556,-129.40389,-13278_13686;-13277_13685;-13277_13686;-13277_13687;-13276_13684;-13276_13685;-13276_13686;-13276_13687;-13276_13688;-13275_13685;-13275_13686;-13275_13687;-13274_13686,https://data.geology.gov.yk.ca/Occurrence/13313,
16,L0016,Tintina,105G 006,Silver,Ag-Pb-Zn-Cu,"Silver, Lead, Zinc, Copper, Cadmium, Bismuth, Gold",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Ag-Pb-Zn-Cu). Deposit itself unclaimed.,,-13456_13614,13,325.0,35,1.0,,,61.15022,-131.15879,-13458_13614;-13457_13613;-13457_13614;-13457_13615;-13456_13612;-13456_13613;-13456_13614;-13456_13615;-13456_13616;-13455_13613;-13455_13614;-13455_13615;-13454_13614,https://data.geology.gov.yk.ca/Occurrence/13174,
17,L0017,Mount Skukum-Lake Vein,105D 158,Silver,Ag-Au-Met,"Silver, Gold, Arsenic",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Ag-Au-Met). Deposit itself unclaimed.,,-13899_13405,13,325.0,35,1.0,,,60.21006,-135.47597,-13901_13405;-13900_13404;-13900_13405;-13900_13406;-13899_13403;-13899_13404;-13899_13405;-13899_13406;-13899_13407;-13898_13404;-13898_13405;-13898_13406;-13897_13405,https://data.geology.gov.yk.ca/Occurrence/12942,
18,L0018,Whitehorse Copper,105D 053,Copper,Cu-Au-Ag-Mo,"Copper, Gold, Silver, Molybdenum, Magnetite",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Cu-Au-Ag-Mo). Deposit itself unclaimed.,,-13856_13497,13,325.0,35,1.0,,,60.62667,-135.05556,-13858_13497;-13857_13496;-13857_13497;-13857_13498;-13856_13495;-13856_13496;-13856_13497;-13856_13498;-13856_13499;-13855_13496;-13855_13497;-13855_13498;-13854_13497,https://data.geology.gov.yk.ca/Occurrence/12837,
19,L0019,Union Mines,105D 038,Gold,Au-Zn-Ag-Pb,"Gold, Zinc, Silver, Lead",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Au-Zn-Ag-Pb). Deposit itself unclaimed.,,-13854_13428,13,325.0,35,1.0,,,60.31417,-135.04083,-13856_13428;-13855_13427;-13855_13428;-13855_13429;-13854_13426;-13854_13427;-13854_13428;-13854_13429;-13854_13430;-13853_13427;-13853_13428;-13853_13429;-13852_13428,https://data.geology.gov.yk.ca/Occurrence/12822,
20,L0020,Wheaton Mountain,105D 031,Gold,Au-Ag-Pb-Cu,"Gold, Silver, Lead, Copper",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Au-Ag-Pb-Cu). Deposit itself unclaimed.,,-13854_13414,13,325.0,35,1.0,,,60.25306,-135.03667,-13856_13414;-13855_13413;-13855_13414;-13855_13415;-13854_13412;-13854_13413;-13854_13414;-13854_13415;-13854_13416;-13853_13413;-13853_13414;-13853_13415;-13852_13414,https://data.geology.gov.yk.ca/Occurrence/12816,
21,L0021,Tally-Ho,105D 030,Copper,Cu-Ag-Pb-Au,"Copper, Silver, Lead, Gold",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Cu-Ag-Pb-Au). Deposit itself unclaimed.,,-13855_13412,13,325.0,35,1.0,,,60.24472,-135.05333,-13857_13412;-13856_13411;-13856_13412;-13856_13413;-13855_13410;-13855_13411;-13855_13412;-13855_13413;-13855_13414;-13854_13411;-13854_13412;-13854_13413;-13853_13412,https://data.geology.gov.yk.ca/Occurrence/12815,
22,L0022,Becker-Cochran,105D 027,Antimony,Sb-Au-Zn-Ni,"Antimony, Gold, Zinc, Nickel, Silver, Copper, Lead",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Sb-Au-Zn-Ni). Deposit itself unclaimed.,,-13872_13399,13,325.0,35,1.0,,,60.18472,-135.215,-13874_13399;-13873_13398;-13873_13399;-13873_13400;-13872_13397;-13872_13398;-13872_13399;-13872_13400;-13872_13401;-13871_13398;-13871_13399;-13871_13400;-13870_13399,https://data.geology.gov.yk.ca/Occurrence/12812,
23,L0023,Goddell,105D 025,Gold,Au-Ag-Sb,"Gold, Silver, Antimony",Past Producer,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Past Producer (Au-Ag-Sb). Deposit itself unclaimed.,,-13879_13401,13,325.0,35,1.0,,,60.19222,-135.28194,-13881_13401;-13880_13400;-13880_13401;-13880_13402;-13879_13399;-13879_13400;-13879_13401;-13879_13402;-13879_13403;-13878_13400;-13878_13401;-13878_13402;-13877_13401,https://data.geology.gov.yk.ca/Occurrence/12810,
